"network","station","name","state","county","lat","lon","area.km2","date.start","date.end","station.keep","n.yrs","n.days.missing","n.days.total","n.days.noflow","prc.days.noflow","BFI.mean","BFI.max","BFI.max.mo","BFI.min","BFI.min.mo","BF.ann.mm_y","Q90.mm_d","Q7day.mm_d","Qmo.min.mm_d","Qmo.min.mo","Qann.mm_y","dQ_dt.slope"
"CANOPEX","05OH007","'SEINE RIVER NEAR STE. ANNE'","MB","Canada",49.64363861,-96.60903168,702.093,NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANOPEX","09AA013","'TUTSHI RIVER AT OUTLET OF TUTSHI LAKE'","BC","Canada",59.94778061,-134.3325043,895.434,"1963-01-01","2010-12-31",TRUE,43,0,15706,0,0,0.729512577129086,1,3,0.169209387510815,6,280.685451495587,0.2924,0.269750166112957,0.289688759689922,4,565.227832745717,1.5289508558412
"CANOPEX","09AE003","'SWIFT RIVER NEAR SWIFT RIVER'","BC","Canada",59.93056107,-131.7677765,3119.59,"1959-01-01","2010-12-31",TRUE,48,0,17532,0,0,0.738995461156364,0.999778598232126,2,0.229338012527955,6,236.611620750783,0.25905,0.248465476190476,0.266067338709677,3,479.498605162242,1.79530261503544
"CANOPEX","07NB008","'DOG RIVER NEAR FITZGERALD'","AB","Canada",59.87638855,-111.5208282,2002.02,"1974-01-01","1994-12-31",FALSE,18,0,6573,58,0.88,0.716485909303862,0.911179710021995,2,0.219096621625547,5,18.3133428847314,0.0047,0.0131920634920635,0.0376132616487455,3,42.647175443787,1.29796462826559
"CANOPEX","09AA014","'FANTAIL RIVER AT OUTLET OF FANTAIL LAKE'","YT","Canada",59.59444046,-134.390564,753.443,"1961-01-01","1993-12-31",TRUE,30,0,10958,0,0,0.656370529360554,0.997376408300334,2,0.155174143086378,6,341.106297745574,0.1399,0.13735619047619,0.169641444444444,4,936.478108962264,1.41124431118204
"CANOPEX","09AE004","'GLADYS RIVER AT OUTLET OF GLADYS LAKE'","YT","Canada",59.90555954,-132.9138947,1699.95,"1961-01-01","1993-12-31",TRUE,32,0,11688,0,0,0.747403474238295,0.998083942153542,2,0.179994389728217,6,144.10656435114,0.1814,0.174442857142857,0.1881790625,4,275.384739159292,1.66293591611381
"CANOPEX","07LC002","'CHIPMAN RIVER ABOVE BLACK LAKE'","SK","Canada",59.31943893,-105.3027802,1008.25,"1976-01-01","1995-05-31",FALSE,19,0,6726,0,0,0.812518694163354,0.995482280538059,3,0.460910160318247,6,290.817907375004,0.4627,0.487895488721804,0.535393859649123,4,400.741590857264,1.65593235169684
"CANOPEX","10AC004","'BLUE RIVER NEAR THE MOUTH'","BC","Canada",59.7583313,-129.1277771,1542.13,"1965-01-01","1995-12-31",TRUE,31,0,11322,0,0,0.727723740872426,0.999717658166747,3,0.221285337450986,6,181.578804354933,0.2017,0.185446082949309,0.204645265348595,3,372.968746890323,1.68651432266148
"CANOPEX","03HA009","'HAMELIN (RIVIERE) PRES DE LA RIVIERE ARNAUD (PAYNE)-1'","QC","Canada",60,-71.75,3820.53,"1963-01-01","1978-12-31",FALSE,16,0,5844,0,0,0.707740537544274,1,3,0.141290853518311,6,191.220209649618,0.08091,0.0794044642857143,0.087850625,4,448.975313661504,1.27648140868335
"CANOPEX","10AC005","'COTTONWOOD RIVER ABOVE BASS CREEK'","BC","Canada",59.11888885,-129.8230591,1046.51,"1964-01-01","2010-12-31",TRUE,47,0,17167,0,0,0.725723906949443,1,2,0.21525332182684,6,235.475727000978,0.1981,0.179125835866261,0.206155868222375,3,557.838495751089,1.47695512466372
